timestamp, heartRate, gyroscopeX, gyroscopeY, gyroscopeZ, gyroscopeRotationX, gyroscopeRotationY, gyroscopeRotationZ, light
1573386442270,95,-4.27,0.49,3.57,0.092,0.061,-0.549,17
1573386443270,94,-4.27,0.49,3.57,0.092,0.061,-0.549,17
1573386444272,95,3.01,2.24,6.65,0.15,0.084,-0.536,17
1573386445268,94,19.74,-66.85,12.81,0.116,0.078,-0.51,17
1573386446269,93,-7.07,-12.95,-21.14,0.042,0.069,-0.496,10
1573386447269,93,-7.07,-12.95,-21.14,0.071,0.051,-0.554,15
1573386448294,95,-4.62,8.33,8.12,0.063,0.051,-0.553,15
1573386449268,95,-29.54,-29.89,-14.35,0.277,0.345,-0.508,36
1573386450271,95,-13.86,-15.75,21.49,0.211,0.268,-0.525,28
1573386451268,95,-13.86,-15.75,21.49,0.188,0.288,-0.487,18
1573386452269,95,-42.42,-3.43,-31.57,0.29,0.956,0.034,173
1573386453268,95,-5.81,4.9,14,0.316,0.948,0.047,221
1573386454272,95,-45.36,-5.18,7.35,0.317,0.844,-0.115,129
1573386455269,95,-45.36,-5.18,7.35,0.317,0.844,-0.115,129
1573386456269,95,-80.64,5.25,-11.48,-0.567,-0.556,0.507,107
1573386457268,95,-172.83,7.21,5.25,-0.537,-0.659,0.407,163
1573386458320,95,242.83,145.18,-21.35,0.306,0.916,0.014,70
1573386459270,95,242.83,145.18,-21.35,0.306,0.916,0.014,106
1573386460270,95,-143.99,-28.91,86.94,0.254,0.925,0.065,126
1573386461268,95,-162.82,-67.41,-51.1,0.07,0.118,-0.407,42
1573386462270,95,-11.97,-2.87,4.34,0.178,0.518,-0.255,25
1573386463269,95,-11.97,-2.87,4.34,0.178,0.518,-0.255,39
1573386464303,95,151.9,11.13,-129.08,0.205,0.514,-0.285,41
1573386465271,95,151.9,11.13,-129.08,0.299,0.954,0.013,165
1573386466271,95,59.78,98.42,-124.74,0.146,0.693,-0.144,93
1573386467270,95,59.78,98.42,-124.74,0.253,0.785,-0.116,86
1573386468272,95,-113.68,-15.68,175.91,0.274,0.776,-0.143,104
1573386469269,95,-113.68,-15.68,175.91,0.143,0.751,-0.072,96
1573386470269,95,-62.02,-75.32,181.65,0.122,0.749,-0.077,114
1573386471270,95,-5.67,-99.05,130.13,0.141,0.734,-0.12,91
1573386472270,95,-13.09,75.18,-142.38,-0.198,-0.702,0.19,116
1573386473270,95,-13.09,75.18,-142.38,-0.198,-0.702,0.19,116
1573386474269,95,96.18,134.33,-181.93,0.166,0.758,-0.08,153
1573386475268,95,96.18,134.33,-181.93,0.194,0.747,-0.119,128
1573386476268,95,-8.82,34.23,7.63,0.272,0.794,-0.084,154
1573386477294,95,-8.82,34.23,7.63,0.289,0.788,-0.085,128
1573386478270,95,-137.83,-56.28,156.66,0.273,0.782,-0.117,132
1573386479268,0,-86.94,-84.77,85.82,0.294,0.794,-0.183,128
1573386480268,0,-27.37,-84.07,72.17,-0.214,-0.78,0.169,109
1573386481268,0,54.6,-78.47,-42.63,-0.309,-0.677,0.318,132
1573386482269,0,20.02,116.34,-107.8,-0.43,-0.715,0.315,237
1573386483268,0,20.02,116.34,-107.8,-0.43,-0.715,0.315,141
1573386484268,0,-3.08,-45.99,-34.58,0.37,0.852,-0.093,129
1573386485268,0,31.5,28.49,-3.43,0.303,0.81,-0.102,91
1573386486270,0,8.89,101.36,-41.58,0.272,0.722,-0.181,57
1573386487270,0,8.89,101.36,-41.58,0.199,0.443,-0.274,61
1573386488269,0,14.98,85.12,39.55,0.081,0.236,-0.201,18
1573386489269,0,36.33,-41.02,-11.13,0.07,0.547,-0.211,76
1573386490269,0,-155.05,44.1,190.68,0.194,0.679,-0.195,76
1573386491269,0,109.2,-84.98,136.01,0.22,0.529,-0.276,62
1573386492269,0,37.45,233.24,-161.42,0.298,0.506,-0.296,88
1573386493268,0,37.45,233.24,-161.42,0.181,0.507,-0.281,77
1573386494269,80,-200.2,-203.56,275.73,0.269,0.566,-0.362,66
1573386495268,80,-200.2,-203.56,275.73,0.269,0.566,-0.362,80
1573386496268,81,-30.31,176.19,-179.55,0.288,0.525,-0.267,48
1573386497268,82,-30.31,176.19,-179.55,0.207,0.592,-0.234,101
1573386498268,84,-44.73,27.86,71.96,0.237,0.605,-0.335,62
1573386499271,84,-44.73,27.86,71.96,0.239,0.694,-0.162,131
1573386500270,86,17.36,-182,168.14,0.32,0.557,-0.385,117
1573386501271,87,-26.46,-190.68,113.12,0.206,0.602,-0.202,50
1573386502271,90,-16.94,182.91,-156.59,0.088,0.644,-0.101,110
1573386503270,89,152.95,230.09,-191.94,0.187,0.623,-0.306,97
1573386504270,86,47.74,-29.33,23.8,0.319,0.665,-0.247,76
1573386505268,88,47.74,-29.33,23.8,0.212,0.686,-0.199,129
1573386506269,90,-58.1,-4.83,122.64,0.106,0.443,-0.326,59
1573386507272,91,-58.1,-4.83,122.64,0.056,0.067,0.464,15
1573386508286,91,-6.65,1.54,31.08,-0.04,0.198,-0.612,12
1573386509268,91,-4.55,24.29,-47.6,-0.069,0.127,-0.641,12
1573386510269,91,4.2,-20.09,2.38,0.081,0.223,-0.595,14
1573386511270,91,4.2,-20.09,2.38,0.081,0.223,-0.595,13
1573386512271,91,87.78,2.24,56.21,-0.032,0.191,0.583,15
1573386513363,91,87.78,2.24,56.21,0.027,0.558,-0.275,25
1573386515269,91,-67.76,-18.06,-103.32,-0.154,-0.77,0.153,164
1573386516269,91,105,294.98,-206.99,0.006,0.468,-0.349,45
1573386517268,91,79.24,24.92,-15.61,0.006,0.468,-0.349,45
1573386518270,91,79.24,24.92,-15.61,-0.202,0.557,-0.273,46
1573386519268,91,-108.15,-148.82,174.02,0.239,0.556,-0.368,50
1573386520269,91,-108.15,-148.82,174.02,0.356,0.509,-0.468,51
1573386521270,91,128.8,167.58,-237.23,0.197,0.531,-0.372,101
1573386522270,91,128.8,167.58,-237.23,0.197,0.531,-0.372,62
1573386523270,91,-199.78,-115.71,156.94,0.012,0.565,-0.266,49
1573386524270,91,-199.78,-115.71,156.94,0.012,0.565,-0.266,71
1573386525269,91,-22.54,-117.88,172.13,0.319,0.558,-0.402,53
1573386526268,91,-73.01,-186.83,30.31,-0.239,0.564,0.378,62
1573386527268,91,134.12,228.83,-234.71,0.213,0.6,-0.313,101
1573386528268,91,134.12,228.83,-234.71,0.042,0.631,-0.183,71
1573386529268,91,-207.13,-95.55,274.54,-0.337,0.421,-0.204,96
1573386530269,91,-207.13,-95.55,274.54,0.204,0.681,-0.199,100
1573386531270,91,-91.98,-30.52,-46.55,0.367,0.515,-0.46,62
1573386532269,91,-91.98,-30.52,-46.55,-0.273,0.527,0.436,123
1573386533270,91,136.99,241.71,-211.4,0.214,0.594,-0.316,95
1573386534269,91,159.46,158.13,-164.15,-0.002,0.66,-0.077,68
1573386535269,91,-141.75,-150.22,263.69,0.316,0.751,-0.153,114
1573386536269,91,-141.75,-150.22,263.69,0.316,0.751,-0.153,112
1573386537296,91,86.94,244.93,-153.65,0.229,0.514,-0.422,118
1573386538269,91,86.94,244.93,-153.65,0.229,0.514,-0.422,118
1573386539271,0,110.53,100.45,-87.64,-0.191,0.581,-0.024,60
1573386540271,0,68.74,8.26,-36.89,-0.221,0.498,-0.125,84
1573386541270,0,-81.41,-184.66,162.12,0.157,0.637,-0.22,106
1573386542269,0,-81.41,-184.66,162.12,-0.356,0.531,0.43,65
1573386543271,0,173.88,229.39,-230.23,-0.328,0.5,0.452,73
1573386544270,0,173.88,229.39,-230.23,0.136,0.61,-0.247,116
1573386545270,0,-183.89,-67.48,179.34,-0.3,0.542,0.025,90
1573386546269,0,-183.89,-67.48,179.34,-0.073,0.634,-0.045,112
1573386547272,0,-264.74,-73.22,-19.11,-0.371,0.918,0.045,68
1573386548267,0,-264.74,-73.22,-19.11,-0.371,0.918,0.045,356
1573386549268,0,157.99,177.24,-202.51,0.076,0.671,-0.123,91
1573386550270,88,-2.52,24.36,50.75,-0.091,0.744,0.256,111
1573386551271,88,-2.52,24.36,50.75,-0.091,0.744,0.256,111
1573386552269,89,-95.27,-88.62,204.33,0.254,0.709,-0.197,120
1573386553270,90,-19.53,-11.97,-18.27,-0.213,0.588,0.32,77
1573386554269,91,32.62,155.12,-183.54,0.256,0.582,-0.34,121
1573386555268,91,150.85,174.79,-249.2,-0.1,0.625,-0.013,88
1573386556269,90,-11.55,-14.49,32.83,-0.291,0.592,0.132,93
1573386557269,90,-63.91,-177.1,168,0.112,0.708,-0.101,150
1573386558268,89,-63.91,-177.1,168,0.24,0.63,-0.269,68
1573386559269,86,175.56,158.48,-258.16,0.162,0.638,-0.216,130
1573386560269,86,175.56,158.48,-258.16,-0.028,0.633,-0.073,88
1573386561269,87,-157.15,-29.75,347.83,-0.307,0.586,0.15,77
1573386562270,90,-157.15,-29.75,347.83,0.073,0.725,-0.046,128
1573386563268,91,-62.37,-133.77,128.45,-0.057,0.682,0.071,64
1573386564269,89,56.21,115.5,-135.94,0.216,0.626,-0.248,91
1573386565269,89,165.13,104.93,-232.75,-0.042,0.692,0.024,92
1573386566268,88,-7.84,-34.3,-27.93,-0.27,0.574,0.099,103
1573386567269,85,-80.92,-146.65,181.37,0.075,0.747,-0.037,145
1573386568288,85,-80.92,-146.65,181.37,0.138,0.689,-0.141,71
1573386569268,84,35.84,101.71,-121.45,0.141,0.657,-0.164,112
1573386570268,84,142.03,142.87,-267.05,-0.084,0.668,0.04,99
1573386571268,84,-290.64,38.22,279.72,-0.304,0.603,0.199,158
1573386572270,84,-290.64,38.22,279.72,-0.035,0.776,0.11,209
1573386573271,84,-64.19,-7.07,-47.95,-0.002,0.757,-0.021,86
1573386574270,84,-64.19,-7.07,-47.95,0.004,0.772,-0.036,98
1573386575268,84,141.75,156.38,-265.79,-0.069,0.674,0.042,132
1573386576268,84,187.67,38.85,-124.67,-0.205,0.597,0.094,82
1573386577269,84,-86.87,-97.65,202.02,-0.122,0.719,0.151,170
1573386578269,84,-86.87,-97.65,202.02,-0.042,0.742,0.058,163
1573386579271,84,121.8,129.15,-223.72,-0.072,0.721,0.081,72
1573386580270,84,121.8,129.15,-223.72,-0.072,0.721,0.081,125
1573386581268,84,-61.04,-24.99,96.81,-0.148,0.687,0.138,113
1573386582268,84,-61.04,-24.99,96.81,-0.23,0.668,0.226,219
1573386583270,84,-88.97,-123.27,26.04,-0.146,-0.758,0.173,85
1573386584270,84,-88.97,-123.27,26.04,-0.146,-0.758,0.173,85
1573386585269,84,-58.31,328.44,-235.34,-0.059,0.753,0.083,126
1573386586271,84,-58.31,328.44,-235.34,0.001,0.228,-0.333,90
1573386587269,84,96.81,-119.07,9.31,-0.213,-0.843,0.159,182
1573386588269,84,96.81,-119.07,9.31,0.29,0.604,-0.279,40
1573386589271,84,-102.97,-77.42,-74.62,-0.206,-0.905,0.238,140
1573386590270,84,-102.97,-77.42,-74.62,-0.259,-0.872,0.414,191
1573386591268,84,-0.7,12.88,-3.78,0.203,0.607,-0.188,51
1573386592269,84,-74.9,-41.02,118.65,-0.235,0.506,0.044,60
1573386593269,84,-66.99,-165.83,87.15,0.087,0.687,-0.087,74
1573386594268,84,-66.99,-165.83,87.15,0.087,0.687,-0.087,74
1573386595269,84,114.66,212.8,-204.26,-0.236,0.511,0.145,50
1573386596268,84,114.66,212.8,-204.26,-0.236,0.511,0.145,64
1573386597312,84,-63.63,-149.45,94.92,-0.058,-0.763,0.052,67
1573386598269,84,-63.63,-149.45,94.92,-0.058,-0.763,0.052,80
1573386599270,0,8.19,-2.59,20.37,-0.146,0.781,0.231,0
1573386600269,0,-2.03,-4.69,2.31,-0.128,0.796,0.239,186
1573386601269,0,-49.49,73.78,38.29,0.098,0.609,-0.091,44
1573386602268,0,34.02,4.27,-16.59,0.153,0.667,-0.15,40
1573386603271,0,29.82,1.54,-37.03,0.279,0.535,-0.217,30
1573386604268,0,29.82,1.54,-37.03,0.267,0.524,-0.221,31
1573386605270,0,-4.34,54.39,20.44,0.279,0.334,-0.191,34
1573386606269,0,-4.34,54.39,20.44,0.292,0.513,-0.226,30
1573386607271,0,25.27,-3.08,-11.48,0.196,0.514,-0.156,29
1573386608269,0,11.13,-18.34,5.18,0.279,0.52,-0.218,33
1573386609269,70,4.62,1.68,-42.28,0.321,0.539,-0.275,35
1573386610268,69,0.49,-5.32,18.9,0.281,0.302,-0.184,31
1573386611269,70,-28.35,45.71,18.27,0.245,0.5,-0.19,32
1573386612269,70,-6.65,12.04,-3.99,0.235,0.399,-0.169,28
1573386613271,70,2.66,-49.28,30.24,0.24,0.537,-0.207,29
1573386614269,70,59.57,-51.24,-34.02,0.348,0.3,-0.246,32
1573386615272,70,-32.27,28.42,20.72,0.183,0.186,-0.195,20
1573386616270,71,-32.27,28.42,20.72,0.183,0.186,-0.195,22
1573386617271,72,-19.25,-11.27,-10.57,0.176,0.264,-0.194,28
1573386618269,72,-19.25,-11.27,-10.57,0.175,0.415,-0.192,28
1573386619269,73,24.15,-76.79,-14.35,0.143,0.343,-0.13,22
1573386620270,75,5.39,-86.52,-27.58,0.196,0.336,-0.218,25
1573386621270,75,-13.58,7.63,2.94,0.199,0.271,-0.203,25
1573386622270,75,-13.58,7.63,2.94,0.214,0.275,-0.213,26
1573386623270,76,46.62,17.85,19.6,0.111,0.221,-0.193,27
1573386624268,76,18.69,-54.04,-27.86,0.18,0.291,-0.245,31
1573386625271,76,26.95,-48.3,-35.49,0.281,0.167,-0.416,59
1573386626269,76,46.06,-4.9,-48.02,0.265,0.144,-0.435,70
1573386627271,76,-0.42,0.49,-4.55,0.229,0.228,-0.366,75
1573386628279,75,-0.42,0.49,-4.55,0.229,0.228,-0.366,71
1573386629268,77,-5.88,0.07,12.18,0.235,0.271,-0.35,74
1573386630268,77,1.05,7.91,4.41,0.244,0.331,-0.338,67
1573386631268,77,-42.98,115.15,8.68,0.22,0.198,-0.384,67
1573386632271,77,-42.98,115.15,8.68,0.22,0.198,-0.384,67
1573386633270,77,-27.44,0.42,9.1,0.268,0.289,-0.343,64
1573386634269,77,-27.44,0.42,9.1,0.235,0.292,-0.266,44
1573386635268,77,13.79,-11.2,-0.49,0.088,0.346,-0.168,31
1573386636268,77,13.79,-11.2,-0.49,0.18,0.368,-0.293,50
1573386637269,77,-13.65,-55.65,19.74,0.164,0.25,-0.291,34
1573386638270,77,-12.25,18.2,4.9,0.194,0.364,-0.282,37
1573386639270,77,-14.28,14.7,-15.19,0.108,0.45,-0.145,37
1573386640268,77,-14.28,14.7,-15.19,0.108,0.45,-0.145,37
1573386641271,77,0.28,-25.9,-1.47,0.108,0.318,-0.119,29
1573386642271,77,0.28,-25.9,-1.47,0.065,0.44,-0.074,18
1573386643270,77,4.34,17.57,2.17,-0.013,0.325,-0.08,26
1573386644270,77,4.34,17.57,2.17,0.004,0.305,-0.083,24
1573386645269,77,8.96,-2.24,6.37,0.046,0.411,-0.065,25
1573386646269,77,134.05,82.6,-333.06,0.499,0.14,-0.448,41
1573386647274,77,-37.17,0.77,-60.97,0.032,0.997,0.071,160
1573386648328,77,-37.17,0.77,-60.97,0.032,0.997,0.071,160
1573386649272,77,32.48,-18.55,14.07,0.033,0.999,0.028,164
1573386650268,77,121.03,66.29,-177.03,-0.041,0.63,0.022,50
