timestamp, heartRate, gyroscopeX, gyroscopeY, gyroscopeZ, gyroscopeRotationX, gyroscopeRotationY, gyroscopeRotationZ, light
1573384742425,88,-0.84,2.1,0.14,0.168,0.453,-0.437,1
1573384743399,88,0.35,1.47,1.54,0.121,0.404,-0.455,2
1573384744421,89,1.12,0.77,0.49,0.119,0.401,-0.457,2
1573384745400,90,6.58,-17.15,-5.95,0.427,0.854,-0.08,6
1573384746398,90,220.57,41.79,-38.64,0.404,0.787,-0.192,4
1573384747396,90,1.33,5.88,-2.03,0.507,0.86,0.013,0
1573384748399,90,-6.58,-3.5,-2.17,0.507,0.858,0.001,8
1573384749400,89,0.49,0.21,-0.07,0.51,0.857,0.002,9
1573384750394,88,0.35,0.07,-0.07,0.511,0.856,0.001,9
1573384751400,88,-0.42,-2.17,0.63,0.512,0.856,0.002,9
1573384752404,88,15.68,3.5,-4.06,0.516,0.855,0.002,9
1573384753417,88,0.28,2.8,3.43,0.516,0.854,0,1
1573384754395,86,-0.91,1.26,1.26,0.514,0.855,0.001,0
1573384755396,86,-0.07,0.56,-4.55,0.517,0.853,-0.002,0
1573384756392,86,0.56,-1.96,0.42,0.515,0.854,0.003,0
1573384757391,86,1.4,0.84,0.14,0.516,0.854,-0.006,0
1573384758392,86,2.1,1.82,7.28,0.513,0.855,-0.003,0
1573384759393,86,2.31,0.28,0.7,0.515,0.853,-0.003,0
1573384760391,86,-0.07,0.56,-2.38,0.515,0.853,-0.002,0
1573384761392,86,-0.07,-0.28,0.63,0.515,0.853,-0.005,0
1573384762394,86,0.35,0.21,-0.56,0.516,0.853,-0.004,0
1573384763394,86,-1.05,-1.12,-1.33,0.515,0.854,-0.003,0
1573384764394,86,-1.33,0.21,-4.62,0.518,0.852,-0.007,0
1573384765394,86,-1.19,-3.01,3.64,0.519,0.851,-0.01,0
1573384766392,86,-0.91,-0.42,-1.96,0.52,0.851,-0.007,0
1573384767391,86,0.56,1.75,-2.03,0.52,0.851,-0.008,0
1573384768396,86,-0.07,-1.89,2.59,0.519,0.851,-0.006,0
1573384769396,86,0.7,-0.84,3.43,0.516,0.854,-0.003,0
1573384770391,86,2.38,-2.38,0.56,0.519,0.85,-0.013,0
1573384771395,86,-2.59,-0.56,5.67,0.518,0.851,-0.01,0
1573384772392,86,143.29,-38.64,-216.16,-0.646,0.741,0.036,3
1573384773394,86,-52.5,17.5,274.12,-0.526,0.823,-0.059,9
1573384774393,86,3.01,3.92,0.07,-0.402,0.797,0.193,5
1573384775391,86,-1.05,-2.1,-1.75,-0.404,0.793,0.189,5
1573384776391,86,1.47,-0.35,-0.84,-0.403,0.793,0.189,5
1573384777391,86,-0.56,-0.14,-0.07,-0.405,0.793,0.192,5
1573384778391,86,-0.63,0.21,-0.21,-0.405,0.793,0.191,5
1573384779391,86,-0.91,-0.14,-0.42,-0.406,0.792,0.193,4
1573384780392,86,-0.49,2.45,2.1,-0.401,0.792,0.188,5
1573384781394,86,0.21,-0.07,0.14,-0.405,0.792,0.192,5
1573384782398,86,1.54,0.14,0.28,-0.404,0.79,0.194,4
1573384783397,0,-0.21,0.28,0.28,-0.404,0.789,0.196,4
1573384784412,0,2.17,-2.17,-1.12,-0.406,0.79,0.194,5
