timestamp, heartRate, gyroscopeX, gyroscopeY, gyroscopeZ, gyroscopeRotationX, gyroscopeRotationY, gyroscopeRotationZ, light
1575110355138,-3,-13.79,3.43,-1.19,-0.546,-0.829,0.037,19
1575110356145,-3,-15.47,2.31,2.59,-0.517,-0.833,0.065,16
1575110357147,-3,-100.66,-114.45,133.21,-0.494,-0.857,0.121,23
1575110358141,-3,35.56,-3.57,-4.83,0.057,0.846,-0.385,16
1575110359143,-3,-10.43,-2.38,-4.69,0.087,0.842,-0.409,18
1575110360163,-3,92.12,-2.52,-16.45,0.068,0.791,-0.599,16
1575110361178,-3,-67.69,16.87,-8.96,-0.342,-0.821,0.374,18
1575110362142,-3,64.82,57.05,-3.01,-0.09,-0.996,0.003,42
1575110363155,-3,-5.11,8.75,-6.58,-0.583,-0.811,0.024,69
1575110364140,-3,-196.42,46.48,24.43,-0.342,0.94,-0.004,114
1575110365140,-3,-3.57,-0.56,1.4,0.678,0.693,0.032,28
1575110366145,-3,-3.64,1.33,-1.75,-0.693,-0.702,0.021,23
1575110367140,-3,0.98,2.17,1.68,0.672,0.703,0.01,8
1575110368143,-3,19.11,-11.9,0.49,0.683,0.704,0.01,23
1575110369196,-3,-2.17,-1.12,0.35,0.683,0.693,0.038,25
1575110370141,-3,-0.98,0.14,0.07,0.687,0.69,0.039,23
1575110371141,-3,-0.49,-0.84,0.49,0.704,0.691,0.037,23
1575110372143,-3,0.49,0.77,0.07,0.682,0.693,0.036,22
1575110373141,-3,31.22,-3.15,1.82,0.703,0.693,0.049,23
1575110374144,-3,-2.73,-1.12,-0.07,0.699,0.691,0.071,124
1575110375148,-3,4.13,1.33,-1.33,0.694,0.673,0.11,127
1575110376190,-3,-6.23,-4.97,-8.12,0.704,0.687,0.048,129
1575110377147,0,-1.61,1.47,2.17,0.682,0.698,0.035,75
1575110378147,0,1.19,-1.54,1.89,0.666,0.699,0.03,16
1575110379146,0,-8.82,-10.99,-5.04,0.673,0.712,0.016,22
1575110380148,0,-5.46,-1.54,-1.12,0.65,0.724,-0.028,11
1575110381150,0,9.59,9.73,-2.59,0.663,0.718,-0.01,7
1575110382147,0,-1.89,8.75,10.08,0.666,0.675,0.041,14
1575110383146,0,-0.07,0.42,1.05,0.655,0.66,0.031,14
1575110384149,0,1.19,-15.26,-9.31,0.663,0.676,0.03,14
1575110385181,0,2.66,2.94,-1.68,0.651,0.716,-0.03,5
1575110386147,0,2.45,3.92,0.21,0.659,0.707,-0.001,4
1575110387148,0,-13.16,7.63,8.33,0.638,0.689,-0.015,9
1575110388147,74,-0.07,-3.85,-3.22,0.637,0.678,-0.005,7
1575110389146,74,5.18,-4.76,0.49,0.655,0.7,-0.002,7
1575110390145,73,-0.7,0.7,0.07,0.662,0.699,0.016,7
1575110391144,73,6.09,6.37,-3.43,0.667,0.696,0.016,14
1575110392145,73,31.78,27.72,21.77,0.669,0.68,0.056,7
1575110393148,74,-0.84,2.66,2.59,0.697,0.626,0.116,11
1575110394158,74,-0.49,0.21,-0.14,0.693,0.638,0.097,9
1575110395142,75,-0.49,0.35,-0.84,0.694,0.638,0.099,9
1575110396148,76,0.91,0.56,-0.21,0.639,0.641,0.075,9
1575110397145,77,-2.59,-1.75,-0.14,0.686,0.632,0.103,9
1575110398144,78,0.35,0.91,0.35,0.692,0.632,0.109,8
1575110399148,79,-0.91,-0.49,-0.28,0.691,0.632,0.112,9
1575110400163,80,-2.59,-1.82,0.14,0.692,0.637,0.104,10
1575110401148,80,-3.92,-2.17,0.07,0.692,0.64,0.101,10
1575110402337,80,103.95,-125.86,-165.13,0.603,-0.783,-0.07,23
1575110403139,79,-9.1,-0.07,3.57,0.603,0.798,0,126
1575110404148,80,0.42,2.59,0.7,0.616,0.788,0,150
1575110405145,81,-0.77,-0.14,2.1,0.62,0.784,0.001,161
1575110406143,80,-1.96,1.75,1.26,0.624,0.781,0.002,161
1575110407191,81,-1.75,0.42,0.77,0.626,0.78,0.002,168
1575110408141,80,0.56,1.4,-0.56,0.629,0.777,0.004,167
1575110409143,80,-0.84,0.07,0.42,0.631,0.776,0.004,171
1575110410145,80,-0.7,-0.49,0.28,0.632,0.775,0.003,167
1575110411140,80,-0.98,-0.49,-0.14,0.633,0.774,0.005,167
1575110412140,80,-70.35,19.6,59.57,0.635,0.76,0.034,169
1575110413142,80,-3.85,-0.7,0.28,0.639,0.719,0.058,20
1575110414140,80,0.35,11.69,3.64,0.648,0.722,0.032,17
1575110415143,80,2.17,0.84,-1.96,0.628,0.731,0.036,14
1575110416145,80,5.39,4.83,-0.42,0.631,0.73,0.034,13
1575110417142,80,0.49,-1.12,-0.07,0.633,0.728,0.047,11
1575110418142,80,0.35,0.7,0.98,0.633,0.727,0.05,10
1575110419145,80,-0.14,0.7,0.21,0.636,0.724,0.051,9
1575110420141,80,-0.91,-0.35,-0.14,0.632,0.724,0.052,10
1575110421141,80,-0.77,-0.21,-0.14,0.632,0.726,0.051,13
1575110422142,80,-0.42,0.77,-0.56,0.631,0.727,0.047,14
1575110423141,80,-3.85,-1.05,0.49,0.629,0.726,0.048,14
1575110424143,80,-0.56,-0.07,-0.28,0.632,0.727,0.042,14
1575110425145,80,-2.8,-1.96,-1.54,0.625,0.734,0.031,14
1575110426145,80,-0.28,0.98,0.49,0.62,0.737,0.027,15
1575110427142,80,1.61,3.71,-0.49,0.625,0.733,0.039,16
1575110428142,80,4.62,-19.39,6.44,-0.223,0.529,0.379,21
1575110429144,80,-2.03,1.4,-0.84,0.383,0.556,-0.419,27
