timestamp, heartRate, gyroscopeX, gyroscopeY, gyroscopeZ, gyroscopeRotationX, gyroscopeRotationY, gyroscopeRotationZ, light
1.57632E+12,0,-13.86,5.46,8.54,0.593,0.75,-0.017,62
1.57632E+12,0,-10.36,2.87,6.58,0.5,0.738,-0.089,27
1.57632E+12,0,-4.83,3.5,-0.77,0.492,0.737,-0.092,19
1.57632E+12,0,24.71,-3.01,-6.65,0.47,0.728,-0.122,18
1.57632E+12,0,-15.33,3.22,0.56,0.476,0.744,-0.064,26
1.57632E+12,0,-8.75,-1.05,0.35,0.472,0.742,-0.07,17
1.57632E+12,0,-0.63,-0.14,-0.35,0.46,0.738,-0.081,15
1.57632E+12,0,0.56,-0.14,-0.14,0.464,0.738,-0.081,15
1.57632E+12,0,-0.49,0.14,-0.28,0.464,0.737,-0.086,16
1.57632E+12,0,-0.84,0.91,-0.07,0.462,0.736,-0.085,14
1.57632E+12,0,-2.59,2.17,-1.96,0.619,0.751,0.016,79
1.57632E+12,0,-1.54,0.21,0.28,0.592,0.74,-0.045,62
1.57632E+12,0,-8.89,0.21,-1.82,0.575,0.733,-0.057,70
1.57632E+12,0,-3.64,0.42,1.4,0.58,0.734,-0.052,67
1.57632E+12,0,5.32,3.43,2.59,0.586,0.733,-0.054,62
1.57632E+12,68,-0.63,-0.14,-0.84,0.585,0.737,-0.051,64
1.57632E+12,68,0.7,0.07,0.35,0.583,0.736,-0.049,64
1.57632E+12,68,0.21,0.07,0.14,0.582,0.736,-0.051,63
1.57632E+12,68,-1.54,-1.61,-1.89,0.587,0.735,-0.053,65
1.57632E+12,68,-0.49,0.98,0.98,0.584,0.734,-0.054,61
1.57632E+12,67,0.42,0.35,0.07,0.586,0.735,-0.055,61
1.57632E+12,67,-0.14,0.14,-0.28,0.585,0.734,-0.056,62
1.57632E+12,67,0.28,0.07,-0.07,0.585,0.733,-0.057,61
1.57632E+12,67,-2.94,-1.61,-3.22,0.583,0.734,-0.053,58
1.57632E+12,67,-6.16,-8.68,0.77,0.591,0.733,-0.075,47
1.57632E+12,66,-2.17,0.63,-0.14,0.536,0.704,-0.172,12
1.57632E+12,66,1.05,-0.49,0.77,0.538,0.707,-0.162,7
1.57632E+12,66,0.49,-0.21,-0.07,0.543,0.708,-0.16,6
1.57632E+12,66,-0.42,0.14,0.63,0.548,0.708,-0.16,12
1.57632E+12,66,4.9,-1.82,-1.89,0.593,0.717,-0.124,19
1.57632E+12,66,-0.7,-0.21,-0.98,0.588,0.721,-0.112,16
1.57632E+12,66,-0.21,-0.42,0.14,0.582,0.719,-0.119,20
1.57632E+12,66,0.42,-0.07,-1.26,0.574,0.72,-0.111,23
1.57632E+12,66,-2.59,1.96,1.26,0.572,0.717,-0.13,25
1.57632E+12,66,-0.49,-0.21,0.42,0.566,0.711,-0.149,36
1.57632E+12,66,66.99,-5.6,30.8,0.568,0.71,-0.158,19
1.57632E+12,66,-5.32,5.39,19.6,0.446,0.76,0.121,31
1.57632E+12,66,-1.82,-3.01,-3.15,0.467,0.76,0.138,23
1.57632E+12,66,-24.64,-27.3,-46.2,0.493,0.74,0.01,36
