timestamp, heartRate, gyroscopeX, gyroscopeY, gyroscopeZ, gyroscopeRotationX, gyroscopeRotationY, gyroscopeRotationZ, light
1572231792399,113,-50.4,1.54,-1.89,-0.123,-0.978,0.051,56
1572231793406,113,-50.4,1.54,-1.89,-0.123,-0.978,0.051,56
1572231794392,113,226.03,-10.29,7.14,0.099,0.995,0.001,76
1572231795394,113,16.17,3.43,3.71,-0.144,-0.765,0.135,17
1572231796393,113,16.17,3.43,3.71,-0.144,-0.765,0.135,17
1572231797393,113,0.42,-0.35,-0.07,-0.14,-0.784,0.126,18
1572231798394,113,0.42,-0.35,-0.07,-0.143,-0.782,0.13,18
1572231799391,113,110.88,11.2,42.84,-0.139,-0.84,0.103,51
1572231800395,113,110.88,11.2,42.84,0.228,0.852,-0.113,51
1572231801390,113,4.27,-75.74,-92.33,0.103,0.981,0.146,65
1572231802427,113,-0.56,-0.56,0.49,0.173,0.982,0.022,164
1572231803395,113,-3.71,-1.12,-0.7,0.173,0.982,0.022,164
1572231804420,113,175.7,-31.99,-40.95,0.163,0.982,0.042,92
1572231805406,113,-39.34,55.51,-98.49,0.108,-0.989,-0.101,92
1572231806390,113,0.77,0.35,0.14,0.253,0.954,-0.025,87
1572231807392,0,3.22,-2.87,-1.19,0.263,0.957,-0.021,109
1572231808400,0,-2.38,-2.52,1.4,0.315,0.946,-0.016,168
1572231809391,0,0.91,0.7,0.84,0.296,0.949,-0.013,138
1572231810394,0,-28.49,-14.14,3.36,-0.146,0.982,0.016,116
1572231811393,0,-9.94,5.53,2.1,-0.096,0.968,0.009,75
1572231812392,0,-8.89,-0.56,4.13,-0.15,0.982,-0.031,56
1572231813393,0,1.82,1.47,0.42,-0.153,0.977,0.016,101
1572231814392,0,-6.37,-2.31,1.12,-0.155,0.979,0.017,111
1572231815395,0,4.97,0.77,0.42,0.307,0.939,-0.046,59
1572231816398,0,39.9,10.92,-8.75,-0.157,0.973,0.017,72
1572231817393,0,83.86,23.73,2.52,0.289,0.893,-0.102,52
1572231818393,0,0.35,-1.61,-0.35,-0.033,-0.835,0.041,19
1572231819394,0,0.35,-1.61,-0.35,-0.021,-0.852,0.031,24
1572231820394,0,2.38,0.42,-0.49,-0.016,-0.854,0.023,23
1572231821392,0,3.71,3.22,-0.21,0.013,0.85,-0.023,24
1572231822392,0,-2.17,3.08,-0.98,-0.008,0.868,-0.009,32
1572231823392,0,0.28,0.35,-3.43,0.308,0.928,-0.05,95
1572231824394,0,6.58,-1.19,3.15,0.305,0.94,-0.021,113
1572231825392,0,8.96,0.7,-8.26,0.307,0.942,-0.023,133
1572231826393,0,5.95,1.54,-1.47,0.265,0.935,-0.055,82
1572231827393,0,-5.18,-2.24,9.8,0.293,0.951,-0.027,145
1572231828394,0,-1.47,1.96,-0.42,-0.116,0.983,0,112
1572231829402,0,0.14,-2.66,-0.7,-0.109,0.98,0.004,102
1572231830394,0,6.02,-5.46,-4.83,-0.11,0.982,-0.005,88
1572231831391,0,3.22,12.04,2.03,-0.088,0.979,-0.005,58
1572231832393,0,0.14,0.98,0.21,-0.09,0.979,-0.007,90
1572231833393,0,-1.12,-0.56,0.84,-0.09,0.979,-0.007,91
1572231834392,100,-2.73,3.78,4.55,-0.074,0.972,0.003,88
1572231835392,100,0.49,0.91,-0.7,-0.06,0.966,0.001,71
1572231836393,100,-0.28,0.21,0.98,-0.063,0.968,0.002,78
1572231837392,100,-5.04,17.29,-28.77,-0.082,0.968,-0.005,79
1572231838393,100,-23.73,-8.19,1.75,0.258,0.962,-0.012,28
1572231839392,100,-23.73,-8.19,1.75,0.258,0.962,-0.012,193
1572231840391,100,-3.71,-0.7,0.07,-0.158,0.987,0.002,164
1572231841393,100,-3.71,-0.7,0.07,-0.126,0.989,0.004,164
1572231842392,100,0.91,-1.75,1.26,0.269,0.963,0.002,205
1572231843392,100,-144.13,-16.31,-2.66,0.253,0.964,-0.011,162
1572231844393,100,-144.13,-16.31,-2.66,-0.106,0.99,0.008,158
1572231845393,100,-8.75,-25.41,8.61,-0.002,0.902,-0.035,58
1572231846392,100,0.14,-1.4,1.68,-0.006,0.928,-0.028,47
1572231847394,100,6.51,-2.8,0.28,0.011,0.898,-0.031,32
1572231848392,100,0.42,1.89,0.42,-0.052,-0.85,0.061,21
1572231849390,100,300.65,70.49,4.34,-0.163,0.975,-0.01,61
1572231850395,100,-1.75,-0.35,-0.63,0.243,0.964,-0.021,107
1572231851395,100,0.35,-0.14,-0.28,0.244,0.963,-0.022,103
1572231852392,100,1.47,0.35,-0.49,0.245,0.963,-0.022,106
1572231853392,100,0.49,0.07,-0.14,0.246,0.963,-0.022,113
1572231854394,100,-0.7,0.28,0.49,0.248,0.962,-0.025,102
1572231855392,100,-0.63,-0.21,-0.07,0.248,0.962,-0.024,109
1572231856393,100,-0.14,-0.42,-0.21,0.248,0.962,-0.024,102
1572231857395,100,-25.34,-5.81,17.22,-0.137,0.988,0,104
1572231858391,100,-25.34,-5.81,17.22,-0.137,0.988,0,159
1572231859394,100,-2.17,-0.28,-1.19,-0.122,0.989,-0.005,96
1572231860393,100,-2.17,-0.28,-1.19,-0.106,0.988,0.001,96
1572231861395,100,0.28,-0.21,-0.42,-0.109,0.989,0.001,82
1572231862392,100,0.28,-0.21,-0.42,-0.109,0.989,0.001,94
1572231863393,100,0.28,0.35,0.21,-0.11,0.988,0,103
1572231864392,100,0.28,0.35,0.21,-0.11,0.988,0,89
1572231865393,100,-0.77,0.28,0.98,-0.11,0.989,0.003,107
1572231866392,100,-0.77,0.28,0.98,-0.11,0.989,0.003,107
1572231867392,0,-1.61,0.14,2.59,-0.11,0.988,0.004,99
1572231868392,0,-1.61,0.14,2.59,-0.108,0.989,0.005,107
1572231869391,0,-1.12,2.03,-1.61,-0.109,0.989,0.003,113
1572231870391,0,14.42,0.63,-3.43,-0.068,0.984,-0.005,78
1572231871394,0,-20.37,51.59,20.93,0.145,0.688,-0.146,9
1572231872392,0,-20.37,51.59,20.93,0.145,0.688,-0.146,9
1572231873394,0,-0.77,-0.56,-0.07,-0.18,-0.706,0.176,13
1572231874393,0,-0.77,-0.56,-0.07,-0.158,-0.802,0.129,16
1572231875393,0,5.81,-2.52,-0.42,-0.185,-0.724,0.173,12
1572231876393,0,5.81,-2.52,-0.42,-0.186,-0.717,0.176,12
1572231877393,0,5.81,-0.28,0.07,-0.195,-0.737,0.178,13
1572231878390,0,-10.15,4.34,-9.59,0.208,0.592,-0.231,8
1572231879391,0,141.96,22.82,4.2,0.162,0.892,-0.014,58
1572231880391,0,-105.42,-70.49,-4.41,0.095,0.995,0.015,55
1572231881391,0,-23.59,-2.45,-4.41,0.083,0.98,0.014,46
1572231882390,0,-23.59,-2.45,-4.41,0.063,0.995,0.019,56
1572231883391,0,-0.49,-0.49,0.07,0.056,0.993,0.019,53
1572231884390,0,-0.49,-0.49,0.07,0.056,0.993,0.02,50
