timestamp, heartRate, gyroscopeX, gyroscopeY, gyroscopeZ, gyroscopeRotationX, gyroscopeRotationY, gyroscopeRotationZ, light
1576300961938,0,0.42,0.21,-0.07,0.123,0.705,-0.128,4
1576300962970,0,0.07,0.35,-0.07,0.123,0.705,-0.128,4
1576300963930,0,-0.07,0.07,-0.07,0.121,0.705,-0.126,4
1576300964931,0,0.21,0.14,-0.14,0.121,0.706,-0.125,4
1576300965938,0,-0.07,0.07,-0.07,0.122,0.706,-0.127,4
1576300966935,0,0.21,-0.07,-0.07,0.121,0.707,-0.126,4
1576300967944,0,196.49,45.78,-85.75,0.043,0.889,-0.251,4
1576300968932,0,1.89,3.36,1.89,-0.13,0.99,-0.011,3
1576300969931,0,-13.65,8.89,-20.02,-0.247,0.966,-0.006,0
1576300970927,0,9.38,0.7,-10.29,-0.344,0.934,0.012,0
1576300971930,0,-0.91,-0.49,-2.1,-0.389,0.918,0.006,1
1576300972926,0,2.03,-0.56,0.84,-0.386,0.917,0.014,0
1576300973932,0,0.21,0.21,-0.21,-0.387,0.918,0.009,1
1576300974926,0,-0.63,0.07,0.07,-0.387,0.918,0.009,0
1576300975937,0,-0.49,-0.63,1.4,-0.386,0.918,0.008,1
1576300976931,0,-3.01,1.12,-1.33,-0.357,0.928,-0.01,0
1576300977917,0,-3.64,-2.87,19.11,-0.334,0.94,-0.004,0
1576300978931,0,1.68,-7.14,-6.3,-0.292,0.947,0.014,0
1576300979931,0,-1.33,0.07,0.14,-0.325,0.937,0.013,0
1576300980929,0,-0.07,0.14,-0.21,-0.326,0.937,0.011,0
1576300981934,0,-0.14,0.07,-0.07,-0.326,0.937,0.009,0
1576300982933,81,0.42,-0.07,-0.21,-0.327,0.937,0.01,0
1576300983925,81,-0.21,0.14,0.14,-0.326,0.937,0.01,0
1576300984934,81,0.42,0.42,-0.07,-0.326,0.938,0.008,0
1576300985961,81,-41.65,3.01,30.73,-0.161,0.987,-0.009,1
1576300986921,81,-41.65,3.01,30.73,-0.161,0.987,-0.009,1
1576300987933,81,8.26,-10.36,-2.59,-0.113,0.993,-0.008,1
1576300988929,81,-8.26,1.68,-7.7,-0.118,0.992,-0.022,1
1576300989928,81,-0.14,0.77,0.07,-0.114,0.993,-0.011,1
1576300990925,81,6.37,2.52,1.12,-0.112,0.993,-0.009,1
1576300991928,81,8.26,6.3,9.73,-0.094,0.994,-0.02,1
1576300992929,81,-2.45,-0.49,-1.05,-0.093,0.994,-0.025,1
1576300993925,81,7.21,-1.96,-2.1,-0.091,0.992,-0.03,1
1576300994928,81,-4.97,0.28,-1.89,-0.095,0.994,-0.023,1
1576300995926,81,4.27,-1.96,0.14,-0.105,0.994,-0.007,1
1576300996931,81,0.91,0.49,0.56,-0.097,0.993,-0.019,1
1576300997929,81,0.49,0.28,0.28,-0.097,0.994,-0.016,1
1576300998935,81,4.41,-0.98,-1.19,-0.097,0.995,-0.014,2
1576300999926,81,2.94,5.39,0.77,-0.098,0.994,-0.019,1
1576301000927,81,0.49,0.07,-0.14,-0.098,0.994,-0.018,1
1576301001930,81,-8.82,3.43,2.31,-0.097,0.994,-0.021,1
1576301002930,81,3.64,0.84,0.84,-0.098,0.994,-0.017,1
1576301003928,81,1.4,-4.41,-1.68,-0.097,0.993,-0.02,1
1576301004929,81,-33.67,-19.81,-1.05,-0.107,0.992,-0.024,2
1576301005928,81,-72.73,-63.7,-24.92,-0.212,0.92,-0.316,1
1576301006927,81,-2.59,-4.13,-1.26,-0.291,0.956,-0.012,0
1576301007936,81,8.19,-63.49,10.36,-0.285,0.955,-0.074,0
1576301008934,81,-10.92,-37.17,-38.64,-0.173,0.983,-0.015,1
1576301009930,81,-0.35,0.63,-0.14,-0.234,0.971,-0.02,1
1576301010925,81,-0.35,0.07,-0.14,-0.233,0.971,-0.023,0
1576301011928,81,-0.21,-0.07,0.28,-0.233,0.971,-0.024,0
1576301012928,81,-0.07,0.07,0.14,-0.233,0.971,-0.021,0
1576301013926,81,-0.14,0.07,-0.14,-0.233,0.971,-0.022,0
1576301014924,81,0.35,-0.07,-0.14,-0.234,0.971,-0.022,0
1576301015937,81,0.14,-0.07,0.07,-0.235,0.971,-0.023,0
1576301016940,0,0.21,0.07,-0.07,-0.235,0.971,-0.022,0
