timestamp, heartRate, gyroscopeX, gyroscopeY, gyroscopeZ, gyroscopeRotationX, gyroscopeRotationY, gyroscopeRotationZ, light
1572175610289,117,-66.92,-52.08,7.35,0.286,0.652,-0.254,0
1572175611282,117,-66.92,-52.08,7.35,0.286,0.652,-0.254,0
1572175612284,119,47.25,-32.76,8.26,0.385,0.605,-0.352,0
1572175613283,119,-30.87,33.39,20.02,0.436,0.593,-0.342,0
1572175614289,119,8.68,39.48,24.5,0.439,0.611,-0.26,0
1572175615303,121,8.68,39.48,24.5,0.439,0.611,-0.26,0
1572175616286,121,4.27,-19.46,-51.73,0.433,0.595,-0.338,0
1572175617284,121,-76.86,-6.3,8.54,0.592,0.584,-0.159,0
1572175618284,121,-131.32,-49.35,-38.43,0.431,0.614,-0.264,0
1572175619283,121,160.02,10.15,-20.16,-0.306,0.534,-0.657,0
1572175620288,121,65.38,-43.54,19.18,0.346,0.57,-0.46,0
1572175621282,121,-36.33,3.71,29.26,0.343,0.601,-0.394,0
1572175622283,121,6.72,41.44,19.04,0.361,0.621,-0.315,0
1572175623281,121,6.72,41.44,19.04,0.361,0.621,-0.315,0
1572175624282,121,74.83,-10.15,12.39,-0.092,0.502,-0.677,0
1572175625282,121,7.56,-27.09,-26.6,0.543,0.58,-0.287,0
1572175626283,121,17.5,6.02,13.51,0.645,0.567,-0.049,0
1572175627283,121,-20.16,-22.47,-14.56,0.462,0.58,-0.368,0
1572175628280,121,81.48,-24.01,-11.69,-0.114,0.621,-0.535,0
1572175629281,121,-28.49,1.19,12.74,0.283,0.597,-0.432,0
1572175630281,121,-47.11,16.38,15.82,0.379,0.598,-0.377,0
1572175631280,121,-47.11,16.38,15.82,0.379,0.598,-0.377,0
1572175632281,121,35.98,42,17.99,0.397,0.598,-0.363,0
1572175633281,121,11.97,53.97,39.83,0.453,0.61,-0.256,0
1572175634281,121,80.36,-0.07,-6.16,-0.092,0.498,-0.68,0
1572175635280,121,80.36,-0.07,-6.16,-0.092,0.498,-0.68,0
1572175636281,121,-15.68,-0.77,12.88,0.472,0.627,-0.091,0
1572175637280,121,-55.93,-49.42,-17.5,0.269,0.661,-0.237,0
1572175638281,121,116.69,-41.86,12.6,0.189,0.635,-0.36,0
1572175639282,121,8.82,12.39,23.1,0.27,0.62,-0.373,0
1572175640281,121,-0.84,41.02,3.57,0.316,0.649,-0.252,0
1572175641282,121,-0.84,41.02,3.57,0.316,0.649,-0.252,0
1572175642282,121,81.41,-19.81,-13.65,0.068,0.592,-0.508,0
1572175643281,121,-6.02,17.71,14,0.523,0.624,-0.11,0
1572175644281,121,50.47,-21.42,-18.97,0.038,0.637,-0.45,0
1572175645280,121,-21.7,-4.34,8.96,0.369,0.588,-0.407,0
1572175646282,0,-4.83,26.67,40.6,0.336,0.626,-0.321,0
1572175647280,0,-4.83,26.67,40.6,0.336,0.626,-0.321,0
1572175648282,0,23.1,1.05,-21.14,0.44,0.594,-0.344,0
1572175649284,0,44.73,-11.48,-35.77,0.103,0.669,-0.347,0
1572175650282,0,-11.06,-4.2,23.38,0.332,0.602,-0.396,0
1572175651283,0,-11.06,-4.2,23.38,0.332,0.602,-0.396,0
1572175652283,0,-28.42,30.8,-13.51,0.386,0.583,-0.41,8
1572175653289,0,35.91,-36.61,-47.04,0.373,0.618,-0.313,7
1572175654284,0,-0.98,-2.8,38.43,0.12,0.577,-0.522,0
1572175655282,0,-0.98,-2.8,38.43,0.12,0.577,-0.522,0
1572175656283,0,8.82,-7.07,1.19,0.57,0.584,-0.18,9
1572175657284,0,1.47,-71.89,-22.61,0.034,0.631,-0.464,2
1572175658283,0,-26.39,4.34,18.9,0.278,0.633,-0.341,5
1572175659282,0,-23.17,38.29,8.47,0.377,0.541,-0.492,15
1572175660281,0,112.21,62.02,-18.62,0.319,0.613,-0.372,17
1572175661282,0,7.14,25.76,25.27,-0.051,0.666,-0.08,3
1572175662282,0,16.59,58.17,-4.97,-0.24,0.554,-0.214,0
1572175663282,0,-9.59,-41.37,-21.14,0.179,0.742,0.004,0
1572175664282,0,35.56,20.37,34.65,-0.142,0.64,-0.087,0
1572175665280,0,35.56,20.37,34.65,-0.142,0.64,-0.087,0
1572175666282,0,-119.21,-12.95,-26.6,0.369,0.734,-0.078,0
1572175667282,0,26.95,-32.83,-28.35,0.118,0.724,0.014,0
1572175668283,0,14.35,-37.94,22.68,-0.229,0.578,-0.189,0
1572175669282,0,88.55,77.42,27.72,-0.008,0.676,-0.061,0
1572175670284,0,88.62,-6.02,-27.02,0.024,0.752,0.156,0
1572175671284,0,-81.83,-23.52,16.45,-0.094,0.658,-0.051,0
1572175672283,116,-32.48,20.65,14.91,-0.033,0.677,-0.047,0
1572175673283,117,-47.95,-0.49,4.34,0.247,0.816,0.087,0
1572175674284,117,-13.79,-44.17,-41.79,0.091,0.759,0.101,0
1572175675297,117,75.88,-2.52,-0.42,0.095,0.734,0.345,0
1572175676281,117,-69.09,-12.67,26.25,-0.005,0.695,-0.032,0
1572175677280,117,48.09,52.08,0.84,-0.054,0.672,-0.042,0
1572175678281,117,45.43,51.38,-1.05,0.177,0.763,0.05,0
1572175679282,117,118.23,22.82,-25.76,-0.177,0.569,-0.333,0
1572175680282,117,23.38,43.12,12.46,0.16,0.676,-0.207,0
1572175681282,117,23.38,43.12,12.46,0.16,0.676,-0.207,0
1572175682282,117,-8.19,-44.38,-35.77,0.122,0.696,-0.123,1
1572175683281,117,-25.48,10.43,11.34,0.208,0.682,-0.186,1
1572175684282,117,-18.55,25.55,18.69,0.201,0.691,-0.158,1
1572175685281,117,-22.82,26.74,-28.42,0.189,0.666,-0.229,2
1572175686283,117,13.09,-34.93,-26.6,0.223,0.707,-0.093,2
1572175687280,117,13.09,-34.93,-26.6,0.223,0.707,-0.093,2
1572175688281,117,27.23,48.37,-49.7,-0.11,0.594,-0.37,4
1572175689281,117,-86.24,-60.13,-30.24,0.201,0.652,-0.27,5
1572175690280,117,10.85,14.98,14.21,0.254,0.69,-0.151,8
1572175691281,117,-20.72,2.24,5.18,0.344,0.716,0.008,2
1572175692280,117,192.08,82.25,-6.44,0.212,0.544,-0.434,1
1572175693280,117,192.08,82.25,-6.44,0.212,0.544,-0.434,1
1572175694281,117,-21.49,-8.96,-1.12,0.193,0.725,-0.05,0
1572175695281,117,1.68,2.52,-0.49,0.173,0.709,-0.105,0
1572175696280,117,-1.26,-1.75,2.52,0.19,0.71,-0.109,0
1572175697280,117,-15.82,0.42,-0.35,0.183,0.712,-0.103,0
1572175698282,117,20.93,14,14,0.168,0.693,-0.152,0
1572175699282,117,-14.07,-4.62,-9.38,0.192,0.688,-0.174,0
1572175700289,117,184.45,11.41,-3.99,0.446,0.741,-0.104,1
1572175701283,117,184.45,11.41,-3.99,0.446,0.741,-0.104,1
1572175702283,117,81.62,62.02,-31.01,0.488,0.873,0.001,3
1572175703287,117,29.12,28.98,-47.25,-0.432,-0.9,0.029,2
1572175704281,117,-303.24,156.45,92.96,0.453,0.793,0.183,4
1572175705305,117,35.98,6.23,-11.62,0.256,0.689,0.23,0
1572175706282,0,18.2,8.33,8.61,0.365,0.655,0.305,0
1572175707283,0,-57.54,-0.98,-20.79,0.366,0.686,0.243,0
1572175708282,0,167.65,21.14,83.79,-0.661,0.069,-0.683,0
1572175709282,0,-80.5,-63.77,-8.12,0.362,0.683,0.138,0
1572175710283,0,9.94,-5.25,16.94,0.422,0.766,0.004,0
1572175711283,0,-58.87,-47.25,26.67,0.211,0.655,-0.264,0
1572175712282,0,8.12,-55.37,-6.16,0.074,0.7,-0.096,0
1572175713281,0,8.12,-55.37,-6.16,0.074,0.7,-0.096,0
1572175714284,0,45.99,19.18,1.05,0.144,0.703,-0.078,0
1572175715283,0,3.36,-5.04,20.23,0.274,0.701,0.028,1
1572175716284,0,-8.82,-15.33,8.4,-0.069,0.666,-0.348,5
1572175717283,0,-73.85,25.76,44.03,0.409,0.685,0.111,0
1572175718284,0,24.15,24.5,27.79,0.192,0.712,0.015,0
1572175719283,0,-31.78,4.48,-14.07,0.365,0.682,0.06,4
1572175720282,0,-13.79,-13.86,7.77,0.339,0.686,0.125,15
1572175721282,0,94.85,-45.92,-56.63,0.412,0.759,-0.088,71
1572175722282,0,-59.36,-40.74,63.7,0.404,0.773,0.132,0
1572175723281,0,44.87,-10.22,29.47,0.379,0.759,0.301,18
1572175724282,0,-26.95,-7.77,-17.78,0.107,0.719,0.039,21
1572175725282,0,-107.94,-7.98,30.94,0.191,0.714,-0.088,40
1572175726282,0,72.8,78.19,47.39,0.253,0.718,0.086,32
1572175727282,88,14.77,-56.28,-37.8,0.089,0.707,-0.058,30
1572175728283,88,-74.34,-43.33,-32.13,0.098,0.702,-0.09,33
1572175729281,87,-74.34,-43.33,-32.13,0.098,0.702,-0.09,33
1572175730282,87,40.39,59.29,-134.54,0.415,0.672,-0.294,65
1572175731283,87,-54.39,-20.79,36.96,0.64,0.764,-0.028,117
1572175732284,87,11.76,9.52,5.39,0.652,0.756,0.031,109
1572175733282,87,11.76,9.52,5.39,0.652,0.756,0.031,109
1572175734283,86,165.76,44.52,33.88,-0.374,0.54,-0.587,25
1572175735303,88,-49.35,-34.16,-34.09,0.312,0.704,-0.114,18
1572175736282,89,-3.22,4.34,17.43,-0.056,0.982,-0.059,25
1572175737280,89,-3.22,4.34,17.43,-0.056,0.982,-0.059,25
1572175738281,89,4.83,-1.26,-14.63,-0.075,-0.951,0.045,10
1572175739281,89,-76.37,-69.37,13.51,0.746,0.613,-0.06,14
1572175740281,89,4.97,14,-0.21,-0.377,0.923,0.009,59
1572175741281,89,4.97,14,-0.21,-0.377,0.923,0.009,59
1572175742282,89,-3.64,-21.84,31.15,0.629,0.77,-0.047,7
1572175743282,89,-22.47,1.4,-39.69,0.635,0.761,-0.07,2
1572175744281,89,-51.24,105,290.85,0.19,0.725,0.002,44
1572175745281,89,-51.24,105,290.85,0.19,0.725,0.002,44
1572175746282,89,137.83,30.45,-103.18,0.766,0.641,-0.027,133
1572175747280,89,39.9,26.18,58.66,-0.959,0.279,0.036,95
1572175748281,89,-1.68,3.22,3.22,0.893,-0.447,0.001,2
1572175749281,89,-3.5,-22.33,-4.83,0.783,0.617,0.035,2
1572175750281,89,0.42,-0.56,-1.61,0.776,0.631,0.012,2
1572175751280,89,0.42,-0.56,-1.61,0.776,0.631,0.012,2
1572175752280,89,-12.67,-72.31,-7.98,0.781,0.615,0.029,0
1572175753281,89,-7.84,-10.36,32.06,0.745,0.667,0.006,4
1572175754280,89,-1.33,-1.4,-62.65,-0.038,0.961,-0.18,13
1572175755280,89,-1.33,-1.4,-62.65,-0.038,0.961,-0.18,13
1572175756280,89,-3.29,8.05,14,0.824,0.537,-0.093,28
1572175757281,89,-20.86,24.78,1.26,0.817,0.565,-0.057,188
1572175758280,89,202.44,30.17,7.49,0.702,0.688,-0.122,208
1572175759281,89,202.44,30.17,7.49,0.702,0.688,-0.122,208
1572175760283,89,-4.83,1.82,-9.52,-0.602,-0.772,0.164,172
1572175761282,89,0.35,-6.93,-0.63,-0.595,-0.763,0.215,171
1572175762283,89,3.5,-3.36,4.9,-0.547,-0.807,0.185,177
1572175763283,89,15.05,-0.21,7.49,-0.509,-0.837,0.161,178
1572175764302,89,-3.57,1.89,5.95,-0.484,-0.856,0.15,178
1572175765280,89,-3.57,1.89,5.95,-0.484,-0.856,0.15,178
1572175766285,0,-13.23,-2.31,-15.68,-0.568,-0.763,0.255,168
1572175767284,0,4.41,-5.88,7.56,-0.574,-0.762,0.244,166
1572175768284,0,6.51,-0.84,8.75,-0.557,-0.776,0.239,173
1572175769283,0,2.59,4.34,4.13,-0.562,-0.781,0.223,178
1572175770283,0,0.77,-0.21,-19.04,-0.573,-0.775,0.217,175
1572175771283,0,0.42,-9.87,3.29,-0.564,-0.775,0.235,173
1572175772282,0,9.45,-0.84,4.9,-0.555,-0.785,0.218,181
1572175773283,0,5.81,9.73,2.8,-0.547,-0.806,0.189,188
